t,t_cmd,A_scale,foot_z,foot_vz,body_z,body_vz,Fn_gpu,Fs_spring,rest_len,Lr_dot,contact,Wact_cum_J,Impulse_cum_Ns
0.000000,0.000000,1.307188,-13.500000,0.000000,0.200000,0.000000,1881.107392,-949000.000000,12.761521,0.000000,1,0.000000,0.000000
0.002025,0.002025,1.307188,-13.520773,-19.795545,0.204213,3.952672,0.000000,-807921.794834,12.761521,0.000000,0,0.000000,0.000000
0.004025,0.004025,1.307188,-13.577640,-36.337921,0.215231,6.853464,0.000000,-650016.401887,12.761521,0.000000,0,0.000000,0.000000
0.006025,0.006025,1.307188,-13.664317,-49.615143,0.230958,8.665871,0.000000,-483019.195792,12.761521,0.000000,0,0.000000,0.000000
0.008025,0.008025,1.307188,-13.774148,-59.533533,0.249178,9.358668,0.000000,-315485.855030,12.761521,0.000000,0,0.000000,0.000000
0.010025,0.010025,1.307188,-13.900460,-66.160326,0.267664,8.954266,0.000000,-154924.269459,12.761521,0.000000,0,0.000000,0.000000
0.012025,0.012025,1.307188,-14.036856,-69.700528,0.284285,7.521000,0.000000,-7592.324498,12.761521,0.000000,0,0.000000,0.000000
0.014025,0.014025,1.307188,-14.177467,-70.470551,0.297084,5.164341,0.000000,121623.470078,12.761521,0.000000,0,0.000000,0.000000
0.016025,0.016025,1.307188,-14.317146,-68.870213,0.304346,2.017561,0.000000,229253.242007,12.761521,0.000000,0,0.000000,0.000000
0.018025,0.018025,1.307188,-14.451606,-65.354527,0.304642,-1.767667,0.000000,313220.431547,12.761521,0.000000,0,0.000000,0.000000
0.020025,0.020025,1.307188,-14.577503,-60.406587,0.296857,-6.030313,0.000000,372759.506092,12.761521,0.000000,0,0.000000,0.000000
0.022025,0.022025,1.307188,-14.692467,-54.512588,0.280200,-10.608313,0.000000,408285.753753,12.761521,0.000000,0,0.000000,0.000000
0.024025,0.024025,1.307188,-14.795082,-48.139848,0.254201,-15.345893,0.000000,421228.940975,12.761521,0.000000,0,0.000000,0.000000
0.026025,0.026025,1.307188,-14.884835,-41.718414,0.218688,-20.099704,0.000000,413842.748034,12.761521,0.000000,0,0.000000,0.000000
0.028025,0.028025,1.307188,-14.962021,-35.626635,0.173758,-24.743631,0.000000,389001.479904,12.761521,0.000000,0,0.000000,0.000000
0.030025,0.030025,1.307188,-15.027630,-30.180828,0.119744,-29.172233,0.000000,349994.675011,12.761521,0.000000,0,0.000000,0.000000
0.032025,0.032025,1.307188,-15.083217,-25.629004,0.057162,-33.302841,0.000000,300328.997318,12.761521,0.000000,0,0.000000,0.000000
0.034025,0.034025,1.307188,-15.130761,-22.148403,-0.013328,-37.076374,0.000000,243545.298161,12.761521,0.000000,0,0.000000,0.000000
0.036025,0.036025,1.307188,-15.172525,-19.851947,-0.090971,-40.457014,-21192.620635,183084.466782,12.761521,0.000000,1,0.000000,0.000000
0.038025,0.038025,1.307188,-15.210745,-18.545896,-0.174962,-43.427760,24918.075371,120780.480222,12.761521,0.000000,1,0.000000,0.000282
0.040025,0.040025,1.307188,-15.247145,-18.010977,-0.264472,-45.980019,42915.095421,57864.525761,12.761521,0.000000,1,0.000000,0.001005
0.042025,0.042025,1.307188,-15.283507,-18.516938,-0.358667,-48.121314,51677.331818,-2014.930694,12.761521,0.000000,1,0.000000,0.001917
0.044025,0.044025,1.307188,-15.321806,-19.882465,-0.456750,-49.878380,79381.233118,-57419.799857,12.761521,0.000000,1,0.000000,0.003127
0.046025,0.046025,1.307188,-15.363120,-21.349014,-0.557980,-51.275823,153633.719382,-110639.341279,12.761521,0.000000,1,0.000000,0.005327
0.048025,0.048025,1.307188,-15.407538,-22.753119,-0.661654,-52.328963,238155.416557,-161859.102758,12.761521,0.000000,1,0.000000,0.008625
0.050025,0.050025,1.307188,-15.453336,-22.501634,-0.767080,-53.023018,470937.858555,-219894.206837,12.761521,0.000000,1,0.000000,0.014692
0.052025,0.052025,1.307188,-15.495799,-19.481866,-0.873467,-53.279375,577207.608417,-293422.655168,12.761521,0.000000,1,0.000000,0.024809
0.054025,0.054025,1.307188,-15.531511,-16.385452,-0.979850,-53.021442,611468.078853,-370795.083397,12.761521,0.000000,1,0.000000,0.036528
0.056025,0.056025,1.307188,-15.563024,-15.043207,-1.085216,-52.277548,680850.120578,-439811.150567,12.761521,0.000000,1,0.000000,0.047959
0.058025,0.058025,1.307188,-15.592413,-14.754037,-1.188633,-51.088140,598771.660868,-501490.912773,12.761521,0.000000,1,0.000000,0.059636
0.060025,0.060025,1.307188,-15.621988,-14.787561,-1.289278,-49.515412,609795.959019,-556996.235074,12.761521,0.000000,1,0.000000,0.072164
0.062025,0.062025,1.307188,-15.651935,-15.318248,-1.386420,-47.594984,584142.830029,-604813.383009,12.761521,0.000000,1,0.000000,0.085228
0.064025,0.064025,1.307188,-15.682294,-15.188129,-1.479403,-45.364210,737462.542363,-650295.606705,12.761521,0.000000,1,0.000000,0.099929
0.066025,0.066025,1.307188,-15.712139,-14.667319,-1.567626,-42.843674,781653.193190,-692486.958609,12.761521,0.000000,1,0.000000,0.115862
0.068025,0.068025,1.307188,-15.740370,-13.407242,-1.650530,-40.048768,898347.027087,-733691.017754,12.761521,0.000000,1,0.000000,0.133376
0.070025,0.070025,1.307188,-15.765248,-11.338532,-1.727567,-36.978273,928021.199502,-775311.828909,12.761521,0.000000,1,0.000000,0.152504
0.072025,0.072025,1.307188,-15.786404,-10.027448,-1.798190,-33.648414,969479.768988,-809441.486640,12.761521,0.000000,1,0.000000,0.171655
0.074025,0.074025,1.307188,-15.805357,-8.759828,-1.861941,-30.115309,1024429.570429,-838163.395695,12.761521,0.000000,1,0.000000,0.191375
0.076025,0.076025,1.307188,-15.821620,-7.485155,-1.918441,-26.405004,1005722.908771,-861957.837556,12.761521,0.000000,1,0.000000,0.211616
0.078025,0.078025,1.307188,-15.835503,-6.452997,-1.967374,-22.556576,1041197.288335,-879210.231400,12.761521,0.000000,1,0.000000,0.232043
0.080025,0.080025,1.307188,-15.846972,-5.113045,-2.008502,-18.605634,1036618.953122,-893343.642060,12.762274,30.244925,1,0.000067,0.253074
0.082025,0.082025,1.307188,-15.856482,-4.569555,-2.041513,-14.378011,1070480.444967,-966934.501121,12.841694,48.847838,1,0.007468,0.274149
0.084025,0.084025,1.307188,-15.866395,-5.394613,-2.065543,-9.614469,1114758.197737,-1054121.630994,12.956358,65.489971,1,0.019071,0.295466
0.086025,0.086025,1.307188,-15.878258,-6.446934,-2.079426,-4.226283,1212843.647791,-1154239.097121,13.102347,80.171322,1,0.035211,0.318443
0.088025,0.088025,1.307188,-15.892050,-7.221179,-2.081837,1.862949,1311636.949569,-1264757.609620,13.275737,92.891892,1,0.056203,0.343801
0.090025,0.090025,1.307188,-15.907145,-7.677408,-2.071309,8.708942,1439804.491326,-1381341.127483,13.472607,103.651681,1,0.082272,0.371754
0.092025,0.092025,1.307188,-15.923769,-8.686112,-2.046308,16.321610,1571912.924560,-1494509.618416,13.689036,112.450689,1,0.113418,0.401457
0.094025,0.094025,1.307188,-15.942035,-9.345320,-2.005325,24.677536,1683524.810562,-1603932.909420,13.921102,119.288916,1,0.149400,0.433733
0.096025,0.096025,1.307188,-15.961402,-10.044690,-1.946909,33.735709,1755510.550810,-1703548.134852,14.164885,124.166362,1,0.189765,0.468066
