t,t_cmd,A_scale,foot_z,foot_vz,body_z,body_vz,Fn_gpu,Fs_spring,rest_len,Lr_dot,contact,Wact_cum_J,Impulse_cum_Ns
0.000000,0.000000,1.393438,-13.500000,0.000000,0.200000,0.000000,583.145197,-949000.000000,12.761521,0.000000,1,0.000000,0.000000
0.002025,0.002025,1.393438,-13.520774,-19.795833,0.204213,3.952660,0.000000,-807919.869111,12.761521,0.000000,0,0.000000,0.000000
0.004025,0.004025,1.393438,-13.577642,-36.338169,0.215231,6.853438,0.000000,-650014.300368,12.761521,0.000000,0,0.000000,0.000000
0.006025,0.006025,1.393438,-13.664318,-49.615348,0.230958,8.665831,0.000000,-483017.033830,12.761521,0.000000,0,0.000000,0.000000
0.008025,0.008025,1.393438,-13.774150,-59.533695,0.249178,9.358614,0.000000,-315483.736217,12.761521,0.000000,0,0.000000,0.000000
0.010025,0.010025,1.393438,-13.900462,-66.160447,0.267664,8.954198,0.000000,-154922.282495,12.761521,0.000000,0,0.000000,0.000000
0.012025,0.012025,1.393438,-14.036858,-69.700611,0.284285,7.520919,0.000000,-7590.541116,12.761521,0.000000,0,0.000000,0.000000
0.014025,0.014025,1.393438,-14.177470,-70.470601,0.297084,5.164249,0.000000,121624.996171,12.761521,0.000000,0,0.000000,0.000000
0.016025,0.016025,1.393438,-14.317149,-68.870235,0.304346,2.017461,0.000000,229254.475256,12.761521,0.000000,0,0.000000,0.000000
0.018025,0.018025,1.393438,-14.451609,-65.354528,0.304641,-1.767775,0.000000,313221.353860,12.761521,0.000000,0,0.000000,0.000000
0.020025,0.020025,1.393438,-14.577506,-60.406573,0.296856,-6.030426,0.000000,372760.115448,12.761521,0.000000,0,0.000000,0.000000
0.022025,0.022025,1.393438,-14.692469,-54.512565,0.280199,-10.608429,0.000000,408286.062288,12.761521,0.000000,0,0.000000,0.000000
0.024025,0.024025,1.393438,-14.795085,-48.139821,0.254199,-15.346010,0.000000,421228.972664,12.761521,0.000000,0,0.000000,0.000000
0.026025,0.026025,1.393438,-14.884838,-41.718389,0.218686,-20.099821,0.000000,413842.536144,12.761521,0.000000,0,0.000000,0.000000
0.028025,0.028025,1.393438,-14.962023,-35.626616,0.173756,-24.743745,0.000000,389001.064354,12.761521,0.000000,0,0.000000,0.000000
0.030025,0.030025,1.393438,-15.027632,-30.180820,0.119741,-29.172344,0.000000,349994.099765,12.761521,0.000000,0,0.000000,0.000000
0.032025,0.032025,1.393438,-15.083219,-25.629008,0.057159,-33.302948,0.000000,300328.307927,12.761521,0.000000,0,0.000000,0.000000
0.034025,0.034025,1.393438,-15.130763,-22.148422,-0.013331,-37.076476,0.000000,243544.539540,12.761521,0.000000,0,0.000000,0.000000
0.036025,0.036025,1.393438,-15.172528,-19.851981,-0.090974,-40.457111,-21189.562550,183083.677990,12.761521,0.000000,1,0.000000,0.000000
0.038025,0.038025,1.393438,-15.210748,-18.545914,-0.174966,-43.427852,24922.041496,120779.528299,12.761521,0.000000,1,0.000000,0.000282
0.040025,0.040025,1.393438,-15.247148,-18.010991,-0.264475,-45.980104,42915.361721,57863.457530,12.761521,0.000000,1,0.000000,0.001005
0.042025,0.042025,1.393438,-15.283509,-18.516955,-0.358670,-48.121391,51678.405749,-2016.060220,12.761521,0.000000,1,0.000000,0.001917
0.044025,0.044025,1.393438,-15.321809,-19.882455,-0.456754,-49.878449,79394.347304,-57421.121765,12.761521,0.000000,1,0.000000,0.003127
0.046025,0.046025,1.393438,-15.363122,-21.349000,-0.557984,-51.275883,153626.193131,-110640.796041,12.761521,0.000000,1,0.000000,0.005327
0.048025,0.048025,1.393438,-15.407541,-22.753067,-0.661658,-52.329011,238144.572469,-161860.881975,12.761521,0.000000,1,0.000000,0.008625
