t,t_cmd,A_scale,foot_z,foot_vz,body_z,body_vz,Fn_gpu,Fs_spring,rest_len,Lr_dot,contact,Wact_cum_J,Impulse_cum_Ns
0.000000,0.000000,1.000000,-13.500000,0.000000,0.200000,0.000000,2561.621751,-949000.000000,12.761521,0.000000,1,0.000000,0.000001
0.002025,0.002025,1.000000,-13.520773,-19.795394,0.204213,3.952678,0.000000,-807922.804480,12.761521,0.000000,0,0.000000,0.000001
0.004025,0.004025,1.000000,-13.577640,-36.337791,0.215231,6.853477,0.000000,-650017.503702,12.761521,0.000000,0,0.000000,0.000001
0.006025,0.006025,1.000000,-13.664316,-49.615035,0.230958,8.665892,0.000000,-483020.329296,12.761521,0.000000,0,0.000000,0.000001
0.008025,0.008025,1.000000,-13.774147,-59.533448,0.249178,9.358696,0.000000,-315486.965911,12.761521,0.000000,0,0.000000,0.000001
0.010025,0.010025,1.000000,-13.900459,-66.160263,0.267664,8.954301,0.000000,-154925.311214,12.761521,0.000000,0,0.000000,0.000001
0.012025,0.012025,1.000000,-14.036855,-69.700484,0.284285,7.521042,0.000000,-7593.259515,12.761521,0.000000,0,0.000000,0.000001
0.014025,0.014025,1.000000,-14.177466,-70.470525,0.297085,5.164389,0.000000,121622.669957,12.761521,0.000000,0,0.000000,0.000001
0.016025,0.016025,1.000000,-14.317145,-68.870201,0.304347,2.017614,0.000000,229252.595421,12.761521,0.000000,0,0.000000,0.000001
0.018025,0.018025,1.000000,-14.451605,-65.354527,0.304643,-1.767610,0.000000,313219.947984,12.761521,0.000000,0,0.000000,0.000001
0.020025,0.020025,1.000000,-14.577502,-60.406595,0.296858,-6.030254,0.000000,372759.186609,12.761521,0.000000,0,0.000000,0.000001
0.022025,0.022025,1.000000,-14.692465,-54.512601,0.280201,-10.608252,0.000000,408285.591990,12.761521,0.000000,0,0.000000,0.000001
0.024025,0.024025,1.000000,-14.795081,-48.139862,0.254202,-15.345832,0.000000,421228.924361,12.761521,0.000000,0,0.000000,0.000001
0.026025,0.026025,1.000000,-14.884834,-41.718427,0.218689,-20.099643,0.000000,413842.859127,12.761521,0.000000,0,0.000000,0.000001
0.028025,0.028025,1.000000,-14.962019,-35.626645,0.173760,-24.743571,0.000000,389001.697775,12.761521,0.000000,0,0.000000,0.000001
0.030025,0.030025,1.000000,-15.027628,-30.180833,0.119745,-29.172175,0.000000,349994.976609,12.761521,0.000000,0,0.000000,0.000001
