t,t_cmd,A_scale,foot_z,foot_vz,body_z,body_vz,Fn_gpu,Fs_spring,rest_len,Lr_dot,contact,Wact_cum_J,Impulse_cum_Ns
0.000000,0.000000,1.286719,-13.500000,0.000000,0.200000,0.000000,-3491.029385,-949000.000000,12.761521,0.000000,1,0.000000,0.000000
0.002025,0.002025,1.286719,-13.520776,-19.796738,0.204212,3.952622,0.000000,-807913.824457,12.761521,0.000000,0,0.000000,0.000000
0.004025,0.004025,1.286719,-13.577645,-36.338947,0.215230,6.853358,0.000000,-650007.703907,12.761521,0.000000,0,0.000000,0.000000
0.006025,0.006025,1.286719,-13.664323,-49.615991,0.230958,8.665706,0.000000,-483010.247648,12.761521,0.000000,0,0.000000,0.000000
0.008025,0.008025,1.286719,-13.774156,-59.534203,0.249177,9.358444,0.000000,-315477.085475,12.761521,0.000000,0,0.000000,0.000000
0.010025,0.010025,1.286719,-13.900469,-66.160827,0.267663,8.953985,0.000000,-154916.045610,12.761521,0.000000,0,0.000000,0.000000
0.012025,0.012025,1.286719,-14.036866,-69.700872,0.284283,7.520667,0.000000,-7584.943255,12.761521,0.000000,0,0.000000,0.000000
0.014025,0.014025,1.286719,-14.177478,-70.470758,0.297082,5.163962,0.000000,121629.786425,12.761521,0.000000,0,0.000000,0.000000
0.016025,0.016025,1.286719,-14.317157,-68.870305,0.304343,2.017145,0.000000,229258.346304,12.761521,0.000000,0,0.000000,0.000000
0.018025,0.018025,1.286719,-14.451617,-65.354531,0.304638,-1.768113,0.000000,313224.248906,12.761521,0.000000,0,0.000000,0.000000
0.020025,0.020025,1.286719,-14.577515,-60.406527,0.296852,-6.030781,0.000000,372762.028158,12.761521,0.000000,0,0.000000,0.000000
0.022025,0.022025,1.286719,-14.692478,-54.512491,0.280194,-10.608793,0.000000,408287.030750,12.761521,0.000000,0,0.000000,0.000000
0.024025,0.024025,1.286719,-14.795093,-48.139736,0.254194,-15.346378,0.000000,421229.072131,12.761521,0.000000,0,0.000000,0.000000
0.026025,0.026025,1.286719,-14.884845,-41.718311,0.218679,-20.100187,0.000000,413841.871041,12.761521,0.000000,0,0.000000,0.000000
0.028025,0.028025,1.286719,-14.962031,-35.626558,0.173749,-24.744104,0.000000,388999.759983,12.761521,0.000000,0,0.000000,0.000000
0.030025,0.030025,1.286719,-15.027640,-30.180793,0.119734,-29.172692,0.000000,349992.294126,12.761521,0.000000,0,0.000000,0.000000
0.032025,0.032025,1.286719,-15.083227,-25.629021,0.057151,-33.303283,0.000000,300326.143999,12.761521,0.000000,0,0.000000,0.000000
0.034025,0.034025,1.286719,-15.130771,-22.148480,-0.013340,-37.076796,0.000000,243542.158306,12.761521,0.000000,0,0.000000,0.000000
0.036025,0.036025,1.286719,-15.172536,-19.852086,-0.090983,-40.457415,-21180.041232,183081.201999,12.761521,0.000000,1,0.000000,0.000000
0.038025,0.038025,1.286719,-15.210756,-18.545969,-0.174976,-43.428138,24934.961414,120776.540354,12.761521,0.000000,1,0.000000,0.000282
0.040025,0.040025,1.286719,-15.247156,-18.011031,-0.264486,-45.980368,42917.727862,57860.084558,12.761521,0.000000,1,0.000000,0.001004
0.042025,0.042025,1.286719,-15.283518,-18.517015,-0.358681,-48.121632,51681.086212,-2019.572856,12.761521,0.000000,1,0.000000,0.001917
0.044025,0.044025,1.286719,-15.321817,-19.882422,-0.456766,-49.878667,79436.798151,-57425.292766,12.761521,0.000000,1,0.000000,0.003127
0.046025,0.046025,1.286719,-15.363131,-21.348970,-0.557996,-51.276070,153589.958862,-110645.303618,12.761521,0.000000,1,0.000000,0.005327
0.048025,0.048025,1.286719,-15.407549,-22.752955,-0.661671,-52.329163,238098.524389,-161866.198860,12.761521,0.000000,1,0.000000,0.008625
0.050025,0.050025,1.286719,-15.453345,-22.501155,-0.767096,-53.023164,470902.689486,-219903.484628,12.761521,0.000000,1,0.000000,0.014693
0.052025,0.052025,1.286719,-15.495807,-19.480989,-0.873484,-53.279449,577272.149072,-293435.005689,12.761521,0.000000,1,0.000000,0.024811
0.054025,0.054025,1.286719,-15.531518,-16.385404,-0.979867,-53.021438,611462.351219,-370804.066773,12.761521,0.000000,1,0.000000,0.036529
0.056025,0.056025,1.286719,-15.563026,-15.050477,-1.085233,-52.277397,670430.227495,-439787.351895,12.761521,0.000000,1,0.000000,0.047951
0.058025,0.058025,1.286719,-15.592418,-14.751606,-1.188650,-51.087976,602402.701323,-501512.874660,12.761521,0.000000,1,0.000000,0.059641
0.060025,0.060025,1.286719,-15.621989,-14.786161,-1.289294,-49.515093,608919.770740,-557016.016571,12.761521,0.000000,1,0.000000,0.072167
0.062025,0.062025,1.286719,-15.651931,-15.318769,-1.386435,-47.594517,584814.779267,-604825.458801,12.761521,0.000000,1,0.000000,0.085230
0.064025,0.064025,1.286719,-15.682265,-15.158671,-1.479417,-45.363182,708636.269303,-650476.715061,12.761521,0.000000,1,0.000000,0.099955
0.066025,0.066025,1.286719,-15.712119,-14.713219,-1.567638,-42.842622,790557.428631,-692281.206786,12.761521,0.000000,1,0.000000,0.115822
0.068025,0.068025,1.286719,-15.740364,-13.428448,-1.650540,-40.047812,915591.046640,-733594.090297,12.761521,0.000000,1,0.000000,0.133363
0.070025,0.070025,1.286719,-15.765227,-11.333439,-1.727575,-36.976952,908795.209093,-775357.089210,12.761521,0.000000,1,0.000000,0.152509
0.072025,0.072025,1.286719,-15.786417,-10.079577,-1.798196,-33.647665,968799.507697,-809171.216209,12.761521,0.000000,1,0.000000,0.171606
0.074025,0.074025,1.286719,-15.805412,-8.761096,-1.861946,-30.115465,1028713.211896,-838113.363732,12.761521,0.000000,1,0.000000,0.191376
0.076025,0.076025,1.286719,-15.821658,-7.447790,-1.918447,-26.405162,1000788.691920,-862116.184000,12.761521,0.000000,1,0.000000,0.211653
0.078025,0.078025,1.286719,-15.835565,-6.517971,-1.967380,-22.557295,1033896.161725,-878839.328586,12.761521,0.000000,1,0.000000,0.231975
0.080025,0.080025,1.286719,-15.847138,-5.024919,-2.008513,-18.608761,1056623.342939,-893661.231181,12.762274,30.241089,1,0.000067,0.253159
0.082025,0.082025,1.286719,-15.856559,-4.730596,-2.041531,-14.380979,1025143.918127,-965819.474278,12.841390,48.552707,1,0.007440,0.273969
0.084025,0.084025,1.286719,-15.866505,-5.406771,-2.065571,-9.622371,1124908.123689,-1052990.777288,12.955198,64.934247,1,0.018948,0.295433
0.086025,0.086025,1.286719,-15.878584,-6.566246,-2.079484,-4.248956,1199937.332980,-1151274.515241,13.099840,79.385709,1,0.034905,0.318253
0.088025,0.088025,1.286719,-15.892421,-7.062990,-2.081960,1.818920,1348758.862051,-1261718.844114,13.271454,91.907092,1,0.055627,0.343837
0.090025,0.090025,1.286719,-15.907316,-7.829795,-2.071543,8.638400,1470596.949323,-1375244.068851,13.466182,102.498398,1,0.081333,0.371399
0.092025,0.092025,1.286719,-15.923731,-8.595481,-2.046720,16.213486,1578561.869254,-1487971.563241,13.680161,111.159625,1,0.112005,0.401226
0.094025,0.094025,1.286719,-15.941536,-9.392223,-2.005995,24.525676,1666007.471115,-1595160.366144,13.909533,117.890775,1,0.147418,0.433227
0.096025,0.096025,1.286719,-15.961288,-10.306919,-1.947950,33.513477,1751756.715473,-1691464.628718,14.150438,122.691847,1,0.187051,0.467137
0.098025,0.098025,1.286719,-15.982772,-11.190934,-1.871310,43.098149,1850282.215444,-1773625.806956,14.399014,125.562840,1,0.230170,0.502872
0.100025,0.100025,1.286719,-16.005532,-11.562653,-1.774981,53.179813,1864463.697124,-1840528.577679,14.651402,126.503755,1,0.275830,0.540589
0.102025,0.102025,1.286719,-16.028928,-12.024090,-1.658081,63.640719,1938450.756454,-1886084.826275,14.903742,125.514593,1,0.322915,0.579369
0.104025,0.104025,1.286719,-16.053277,-12.125289,-1.520008,74.324378,2055511.578012,-1909052.527354,15.152174,122.595352,1,0.370099,0.619188
0.106025,0.106025,1.286719,-16.076852,-11.444516,-1.360459,85.091505,2031770.396061,-1910060.325829,15.392837,117.746034,1,0.416108,0.660004
