t,t_cmd,A_scale,foot_z,foot_vz,body_z,body_vz,Fn_gpu,Fs_spring,rest_len,Lr_dot,contact,Wact_cum_J,Impulse_cum_Ns
0.000000,0.000000,1.000000,-13.500000,0.000000,0.200000,0.000000,213.937335,-949000.000000,12.761521,0.000000,1,0.000000,0.000000
0.002025,0.002025,1.000000,-13.520774,-19.795915,0.204213,3.952656,0.000000,-807919.321335,12.761521,0.000000,0,0.000000,0.000000
0.004025,0.004025,1.000000,-13.577642,-36.338240,0.215231,6.853431,0.000000,-650013.702586,12.761521,0.000000,0,0.000000,0.000000
0.006025,0.006025,1.000000,-13.664319,-49.615406,0.230958,8.665820,0.000000,-483016.418856,12.761521,0.000000,0,0.000000,0.000000
0.008025,0.008025,1.000000,-13.774150,-59.533741,0.249177,9.358598,0.000000,-315483.133517,12.761521,0.000000,0,0.000000,0.000000
0.010025,0.010025,1.000000,-13.900463,-66.160482,0.267664,8.954179,0.000000,-154921.717299,12.761521,0.000000,0,0.000000,0.000000
0.012025,0.012025,1.000000,-14.036859,-69.700635,0.284284,7.520896,0.000000,-7590.033829,12.761521,0.000000,0,0.000000,0.000000
0.014025,0.014025,1.000000,-14.177470,-70.470615,0.297084,5.164223,0.000000,121625.430271,12.761521,0.000000,0,0.000000,0.000000
0.016025,0.016025,1.000000,-14.317150,-68.870241,0.304345,2.017432,0.000000,229254.826057,12.761521,0.000000,0,0.000000,0.000000
0.018025,0.018025,1.000000,-14.451610,-65.354528,0.304641,-1.767805,0.000000,313221.616213,12.761521,0.000000,0,0.000000,0.000000
0.020025,0.020025,1.000000,-14.577507,-60.406569,0.296855,-6.030459,0.000000,372760.288781,12.761521,0.000000,0,0.000000,0.000000
0.022025,0.022025,1.000000,-14.692470,-54.512558,0.280198,-10.608462,0.000000,408286.150052,12.761521,0.000000,0,0.000000,0.000000
0.024025,0.024025,1.000000,-14.795085,-48.139813,0.254199,-15.346044,0.000000,421228.981678,12.761521,0.000000,0,0.000000,0.000000
0.026025,0.026025,1.000000,-14.884838,-41.718382,0.218685,-20.099854,0.000000,413842.475871,12.761521,0.000000,0,0.000000,0.000000
0.028025,0.028025,1.000000,-14.962024,-35.626611,0.173756,-24.743778,0.000000,389000.946150,12.761521,0.000000,0,0.000000,0.000000
0.030025,0.030025,1.000000,-15.027633,-30.180817,0.119741,-29.172375,0.000000,349993.936135,12.761521,0.000000,0,0.000000,0.000000
0.032025,0.032025,1.000000,-15.083220,-25.629009,0.057158,-33.302978,0.000000,300328.111829,12.761521,0.000000,0,0.000000,0.000000
0.034025,0.034025,1.000000,-15.130764,-22.148427,-0.013331,-37.076505,0.000000,243544.323749,12.761521,0.000000,0,0.000000,0.000000
0.036025,0.036025,1.000000,-15.172529,-19.851990,-0.090975,-40.457138,-21188.722177,183083.453602,12.761521,0.000000,1,0.000000,0.000000
0.038025,0.038025,1.000000,-15.210748,-18.545918,-0.174967,-43.427878,24923.137255,120779.256355,12.761521,0.000000,1,0.000000,0.000282
0.040025,0.040025,1.000000,-15.247148,-18.010994,-0.264476,-45.980128,42915.483957,57863.151755,12.761521,0.000000,1,0.000000,0.001004
0.042025,0.042025,1.000000,-15.283510,-18.516962,-0.358671,-48.121413,51678.170008,-2016.368994,12.761521,0.000000,1,0.000000,0.001917
0.044025,0.044025,1.000000,-15.321809,-19.882454,-0.456755,-49.878469,79398.695416,-57421.481774,12.761521,0.000000,1,0.000000,0.003127
0.046025,0.046025,1.000000,-15.363123,-21.349020,-0.557985,-51.275900,153615.872913,-110641.076120,12.761521,0.000000,1,0.000000,0.005327
0.048025,0.048025,1.000000,-15.407542,-22.753066,-0.661660,-52.329026,238139.508403,-161861.277332,12.761521,0.000000,1,0.000000,0.008624
0.050025,0.050025,1.000000,-15.453339,-22.501490,-0.767085,-53.023065,470931.222882,-219897.004238,12.761521,0.000000,1,0.000000,0.014692
